Country Name,Country Code,Year,Value
Lithuania,LTU,2016,42738875963.3703
Luxembourg,LUX,2016,58631324559.4484
"Macao SAR, China",MAC,2016,44802641829.9265
"Macedonia, FYR",MKD,2016,10899583154.6499
Madagascar,MDG,2016,10001193420.1518
Malawi,MWI,2016,5433038646.51677
Malaysia,MYS,2016,296535930381.12
Maldives,MDV,2016,4224209599.2291703
Mali,MLI,2016,14034980333.6615
Malta,MLT,2016,10999047580.3881
Marshall Islands,MHL,2016,194497900.0
Mauritania,MRT,2016,4739298730.308371
Mauritius,MUS,2016,12168437744.2644
Mexico,MEX,2016,1046922702460.87
"Micronesia, Fed. Sts.",FSM,2016,329895600.0
Moldova,MDA,2016,6749515654.64419
Mongolia,MNG,2016,11183458130.8083
Montenegro,MNE,2016,4374127212.3893795
Morocco,MAR,2016,103606321692.58199
Mozambique,MOZ,2016,11014858591.8422
Myanmar,MMR,2016,63225097051.255
Namibia,NAM,2016,10947880690.471
Nauru,NRU,2016,102060129.577055
Nepal,NPL,2016,21131983246.1855
Netherlands,NLD,2016,777227541581.307
New Zealand,NZL,2016,184969146624.47
Nicaragua,NIC,2016,13230844686.858
Niger,NER,2016,7528387858.34739
Nigeria,NGA,2016,404652720164.859
Northern Mariana Islands,MNP,2016,1242000000.0
Norway,NOR,2016,371076190476.19
Oman,OMN,2016,66293368010.4031
Pakistan,PAK,2016,278913371202.065
Palau,PLW,2016,310248300.0
Panama,PAN,2016,55187700000.0
Papua New Guinea,PNG,2016,20213214171.7204
Paraguay,PRY,2016,27424071382.7244
Peru,PER,2016,192207342004.68103
Philippines,PHL,2016,304905406845.291
Poland,POL,2016,471364408713.956
Portugal,PRT,2016,204836597909.466
Qatar,QAT,2016,152451923076.923
Romania,ROU,2016,187592037839.96802
Russian Federation,RUS,2016,1283162985989.3
Rwanda,RWA,2016,8376048904.58291
Samoa,WSM,2016,786356314.80277
San Marino,SMR,2016,1590707964.60177
Sao Tome and Principe,STP,2016,342781715.52048
